amp_list,uncoupled_fnames,coupled_fnames,delta_bs,g_bs
0.07813704805082305,sweep_ac_drive_frequency_20250615_155755.csv,sweep_ac_drive_frequency_20250615_161114.csv,394.5656565656566,-0.7691145364911733
0.10149760880828562,sweep_ac_drive_frequency_20250615_161934.csv,sweep_ac_drive_frequency_20250615_163309.csv,394.5656565656566,-1.0016593302005674
0.12485816956574818,sweep_ac_drive_frequency_20250615_164152.csv,sweep_ac_drive_frequency_20250615_165248.csv,394.4646464646465,-1.2369312127686953
0.14821873032321076,sweep_ac_drive_frequency_20250615_170045.csv,sweep_ac_drive_frequency_20250615_171242.csv,394.4646464646465,-1.4755502641799296
0.17157929108067332,sweep_ac_drive_frequency_20250615_172109.csv,sweep_ac_drive_frequency_20250615_173309.csv,394.3636363636364,-1.7187531826517954
0.1949398518381359,sweep_ac_drive_frequency_20250615_174105.csv,sweep_ac_drive_frequency_20250615_175116.csv,394.26262626262627,-1.9666110513927322
0.21830041259559846,sweep_ac_drive_frequency_20250615_175813.csv,sweep_ac_drive_frequency_20250615_180845.csv,394.16161616161617,-2.2197915901051886
0.24166097335306097,sweep_ac_drive_frequency_20250615_181558.csv,sweep_ac_drive_frequency_20250615_182653.csv,394.06060606060606,-2.479357555544084
0.26502153411052354,sweep_ac_drive_frequency_20250615_183421.csv,sweep_ac_drive_frequency_20250615_184547.csv,393.95959595959596,-2.7466992318096004
0.28838209486798616,sweep_ac_drive_frequency_20250615_185328.csv,sweep_ac_drive_frequency_20250615_190511.csv,393.7575757575758,-3.022369978384603
0.3117426556254487,sweep_ac_drive_frequency_20250615_191306.csv,sweep_ac_drive_frequency_20250615_192530.csv,393.55555555555554,-3.3072339156653356
0.33510321638291124,sweep_ac_drive_frequency_20250615_193342.csv,sweep_ac_drive_frequency_20250615_194645.csv,393.45454545454544,-3.6013794441797415
0.3584637771403738,sweep_ac_drive_frequency_20250615_195520.csv,sweep_ac_drive_frequency_20250615_200822.csv,393.25252525252523,-3.9058925665812865
0.3818243378978364,sweep_ac_drive_frequency_20250615_201720.csv,sweep_ac_drive_frequency_20250615_203107.csv,393.0505050505051,-4.221083957901158
0.40518489865529894,sweep_ac_drive_frequency_20250615_204034.csv,sweep_ac_drive_frequency_20250615_205501.csv,392.8484848484849,-4.546692304269072
0.42854545941276156,sweep_ac_drive_frequency_20250615_210450.csv,sweep_ac_drive_frequency_20250615_212007.csv,392.6464646464647,-4.883130945154903
0.4519060201702241,sweep_ac_drive_frequency_20250615_213015.csv,sweep_ac_drive_frequency_20250615_214647.csv,392.3434343434343,-5.2327825587412065
0.4752665809276867,sweep_ac_drive_frequency_20250615_215722.csv,sweep_ac_drive_frequency_20250615_221359.csv,392.14141414141415,-5.587679132736071
