"Phase [deg]","Freq [GHz]","surface_int_B []"
0,7.5448,1.70625750822384E-06
0,7.5646,1.50762947577041E-06
0,7.5844,1.35347112355198E-06
0,7.6042,1.23269834626594E-06
0,7.624,1.13723109330491E-06
0,7.6438,1.06128661833184E-06
0,7.6636,1.0007312623884E-06
0,7.6834,9.52573956748434E-07
0,7.7032,9.14647315696313E-07
0,7.723,8.85372515368881E-07
0,7.7428,8.63604167596836E-07
0,7.7626,8.4852973899139E-07
0,7.7824,8.39600822702835E-07
0,7.8022,8.36483897542028E-07
0,7.822,8.39033350461971E-07
0,7.8418,8.47285615485668E-07
0,7.8616,8.6144715340427E-07
0,7.8814,8.8191400547714E-07
0,7.9012,9.092890370719E-07
0,7.921,9.44420573036366E-07
0,7.9408,9.88443944402894E-07
0,7.9606,1.04284013732413E-06
0,7.9804,1.10949370715943E-06
0,8.0002,1.19068928187129E-06
0,8.02,1.28895077923935E-06
0,8.0398,1.40627253828516E-06
0,8.0596,1.54157398373031E-06
0,8.0794,1.68238573136538E-06
0,8.0992,1.77775999818575E-06
0,8.119,1.65146134333708E-06
0,8.1388,7.90000754915646E-07
0,8.1586,1.49684731874563E-06
0,8.1784,3.83389642117877E-06
0,8.1982,4.23563847765254E-06
0,8.218,3.68860209842209E-06
0,8.2378,3.08103442179563E-06
0,8.2576,2.60202235808173E-06
0,8.2774,2.24613270971826E-06
0,8.2972,1.98213420058847E-06
0,8.317,1.78412139933842E-06
0,8.3368,1.63399614781647E-06
0,8.3566,1.51952608319001E-06
0,8.3764,1.43244203199703E-06
0,8.3962,1.36712725395372E-06
0,8.416,1.3197713196388E-06
0,8.4358,1.28783715707943E-06
0,8.4556,1.2697338273686E-06
0,8.4754,1.26463806160041E-06
0,8.4952,1.27239088124345E-06
0,8.515,1.29349183283814E-06
0,8.5348,1.32917166195299E-06
0,8.5546,1.38155442019843E-06
0,8.5744,1.45395650680251E-06
0,8.5942,1.5513954954925E-06
0,8.614,1.68143399506407E-06
0,8.6338,1.85553967510794E-06
0,8.6536,2.09109226463449E-06
0,8.6734,2.41312229819389E-06
0,8.6932,2.84594733482922E-06
0,8.713,3.3119797420877E-06
0,8.7328,2.67867805066393E-06
0,8.7526,4.80602904864632E-06
0,8.7724,7.7680538829373E-06
0,8.7922,5.28877383796559E-06
0,8.812,3.70847384014862E-06
0,8.8318,2.80254175476969E-06
0,8.8516,2.2407780023365E-06
0,8.8714,1.86623970680346E-06
0,8.8912,1.60247650878212E-06
0,8.911,1.40907646886927E-06
0,8.9308,1.26302370903434E-06
0,8.9506,1.15037376995587E-06
0,8.9704,1.06225913018271E-06
0,8.9902,9.92819370847171E-07
0,9.01,9.3807073869787E-07
0,9.0298,8.9525281313756E-07
0,9.0496,8.62444010909697E-07
0,9.0694,8.38323915655507E-07
0,9.0892,8.22023399168606E-07
0,9.109,8.13046819460806E-07
0,9.1288,8.11221605060408E-07
0,9.1486,8.16696878313664E-07
0,9.1684,8.2996574285891E-07
0,9.1882,8.51941881315267E-07
0,9.208,8.84080297502756E-07
0,9.2278,9.28602156232362E-07
0,9.2476,9.88910608684538E-07
0,9.2674,1.07159404636132E-06
0,9.2872,1.17612682784899E-06
0,9.307,1.3244531376112E-06
0,9.3268,1.52554222180563E-06
0,9.3466,1.78115212464388E-06
0,9.3664,1.91884728618016E-06
0,9.3862,8.9099895274681E-08
0,9.406,5.57343874186856E-06
0,9.4258,4.13891703733373E-06
0,9.4456,2.63269409970941E-06
0,9.4654,1.84644806529948E-06
0,9.4852,1.39730875310585E-06
0,9.505,1.11404155599886E-06
0,9.5248,9.217530909254E-07
0,9.5446,7.84025596956024E-07
0,9.5644,6.81371450398346E-07
0,9.5842,6.02522664650094E-07
0,9.604,5.40563685352099E-07
0,9.6238,4.91041592265796E-07
0,9.6436,4.50992301162436E-07
0,9.6634,4.18400893437556E-07
0,9.6832,3.91913776730398E-07
0,9.703,3.70701583023819E-07
0,9.7228,3.54498223808013E-07
0,9.7426,3.44022896004653E-07
0,9.7624,3.43152052296044E-07
0,9.7822,3.78291274345995E-07
0,9.802,2.40590441907381E-08
0,9.8218,2.27033639758227E-07
0,9.8416,2.44620032096222E-07
0,9.8614,2.49609355052195E-07
0,9.8812,2.52204277212792E-07
0,9.901,2.54892239862938E-07
0,9.9208,2.58719321466548E-07
0,9.9406,2.64386013692284E-07
0,9.9604,2.72600303282795E-07
0,9.9802,2.84293035595057E-07
0,10,3.00873760300331E-07
